Spotify URI,Voter ID,Created,Points Assigned,Comment,Round ID
spotify:track:0bZelokqNQicLQfLU1Ayw8,86d2dce33769416bb6ed85729b0fef45,2026-02-27T18:17:39Z,-2,,ee1e5dc806a449acadff0e847f83d274
spotify:track:0j2T0R9dR9qdJYsB7ciXhf,86d2dce33769416bb6ed85729b0fef45,2026-02-27T18:17:39Z,2,,ee1e5dc806a449acadff0e847f83d274
spotify:track:2A7IJnBcu2OD0piARVu82U,86d2dce33769416bb6ed85729b0fef45,2026-02-27T18:17:39Z,-2,,ee1e5dc806a449acadff0e847f83d274
spotify:track:3gqHCUYOhTAWJDE4CAIde3,86d2dce33769416bb6ed85729b0fef45,2026-02-27T18:17:39Z,-3,,ee1e5dc806a449acadff0e847f83d274
spotify:track:5NLuC70kZQv8q34QyQa1DP,86d2dce33769416bb6ed85729b0fef45,2026-02-27T18:17:39Z,2,,ee1e5dc806a449acadff0e847f83d274
spotify:track:5Rizj5FLb2AyNKu9esjYY6,86d2dce33769416bb6ed85729b0fef45,2026-02-27T18:17:39Z,-3,,ee1e5dc806a449acadff0e847f83d274
spotify:track:63jDcVB4jsCVAPDry1eAxN,86d2dce33769416bb6ed85729b0fef45,2026-02-27T18:17:39Z,7,,ee1e5dc806a449acadff0e847f83d274
spotify:track:648BMGrt98kUbLo24A4vgj,86d2dce33769416bb6ed85729b0fef45,2026-02-27T18:17:39Z,2,,ee1e5dc806a449acadff0e847f83d274
spotify:track:6dqtXAD7TqlhZVroaUigVC,86d2dce33769416bb6ed85729b0fef45,2026-02-27T18:17:39Z,2,,ee1e5dc806a449acadff0e847f83d274
spotify:track:79mYNfvMefhmL5IqRmUnCK,86d2dce33769416bb6ed85729b0fef45,2026-02-27T18:17:39Z,5,,ee1e5dc806a449acadff0e847f83d274
spotify:track:0bZelokqNQicLQfLU1Ayw8,1f0a3fccd8bc4fd488229256089548da,2026-02-27T21:26:46Z,5,"Svo gott lag  með titli sek passar lala við þemað, en þar endar allt daður við unga sussara.

Þetta er lag frá einhverjum Manchester merði. Jónas væri obvious choice, en ég held að þetta sé einhver sem er bara nýlega búinn að uppgötva Stone Roses. Semsagt þetta lag er framlag Geirs.",ee1e5dc806a449acadff0e847f83d274
